sentiment,text,user,subject,id
neutral,"RT @nexta_tv: Dmitry #Medvedev claims that #Ukraine cannot join the \n EU because #Brussels is \controlled by #Washington\"" and it needs to b…""",DCSS_PlymouthUn,NATO,c20da022-0eac-49cc-bce5-f04e911c7af0
negative,RT @YoshiYamamo_to: Workers of the Greek railway company TrainOSE refuse to participate in the transportation of US and NATO military vehic…,marous222,NATO,eb6af93b-e86e-4caf-9ca5-cfd10b97beee
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",FritsBrouwer,NATO,70dd26b3-ad56-4c8a-acb1-9c2d7ce204db
positive,"RT @SpokespersonCHN: #China supports the #EU in playing a primary role, and supports dialogue among Europe, #Russia, the #US and #NATO for…",DaleKalamazad,NATO,9c152b9d-012c-4f6f-8a19-d458eba51673
neutral,"RT @DonnachaDCU: #Putin's side-kick, Dmitry Medvedev, asserts that #Russia has a veto on who can join the EU. \n\nIn his view the EU is contr…",ronan_corcoran,NATO,b7ee4dc8-02f6-49e7-834d-420c93978a2b
neutral,RT @svennihelga: PM Mette Frederiksen #Denmark @Statsmin in Camp Adazi today as 🇩🇰 plans to send 800 soldiers to #Latvia on #NATO request.…,hqmndn,NATO,d82fe8e6-b3eb-4c40-b3c0-07e68b50f5e1
positive,"RT @a_lead_1: All of you who support NATO to go on a trip to the Donbass Alley of Angels. To stand there and see the truth, it's easy to pl…",DingaDongar,NATO,e9f170f3-4c61-479d-873e-fa792fc1bed3
positive,"Quick return for #CEF117 C-295, almost back in 🇨🇿#Prague, could be another MEDEVAC transport.\n#Czechia #Poland… https://t.co/v10axbcGN1",Nom4d_14,NATO,f28d1505-67bc-45a1-89a5-9094656d0157
neutral,"Edellinen presidenttimme voi jatkaa eläkepäiviään hyvillä mielin.  Maassamme on sentään ollut presidentti, joka on… https://t.co/R8NDS6oHXM",elkonpelto,NATO,f6fb296f-7a37-46fc-88ee-08628ed49013
neutral,Vilken chock att #extremvänstern är emot frihetspakten #Nato Putin har många lakejer och avsändare i Sverige https://t.co/Uxw48aX6QE,beckmansasikter,NATO,1d9e1363-708f-4db7-a873-eef534e3838b
negative,RT @SarahDerekby: #NATO members outside the U.S. are set to boost their military spending following Russia’s invasion of #Ukraine https://t…,JAgainstNukesUK,NATO,0dfa75be-e210-4f21-bb64-eda573533ec2
negative,"RT @YoshiYamamo_to: \Slava Ukraini\"" No Nazis in Ukraine! Military card of the Armed Forces of Ukraine of the 79th brigade\n#Ukraine   #Ukrai…""",marous222,NATO,6efeb3da-3b63-4fe4-a2d4-5f1d64e6b690
positive,RT @valstsgriba: I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will also cont…,SofiasSnippets,NATO,c2b3f7a2-8251-46ec-b450-b62fddaa81bb
positive,"NATO spy plane flying perfect circles above Romania on the border with Moldova, and a French Air Force plane doing… https://t.co/64VtMWE7oV",KernowGold,NATO,a4195c43-4433-4a3d-b1fe-54fb61413079
neutral,Tätä ei saa ainakaan venyttää eikä prosessia hidastaa. \n\nEi yhtään. \n\nSe on nyt poliitikkojen harteilla. \nSiksi tei… https://t.co/5Aciz4glC7,imperikari,NATO,88bcc834-cf2b-4269-9b03-936466d3f3da
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",JuanMaBiaggi,NATO,6ccd0645-2931-455b-91f7-7066f4da4ac6
neutral,"RT @DonnachaDCU: #Putin's side-kick, Dmitry Medvedev, asserts that #Russia has a veto on who can join the EU. \n\nIn his view the EU is contr…",EuCaspian,NATO,25395a93-ed35-4c4b-bf9e-9ea184079e68
negative,#NATO please get serious about this war.\n#natoinukrainenow \n#StopPutinNOW \n#путинубийца https://t.co/9UtIZ4b3Fa,JacekWork,NATO,44400288-f44a-46c0-b8a7-3ad96df8439b
neutral,"#Putin's side-kick, Dmitry Medvedev, asserts that #Russia has a veto on who can join the EU. \n\nIn his view the EU i… https://t.co/YUhRe5zvdw",DonnachaDCU,NATO,f202ff2d-3436-4d36-9e13-ac24161444b1
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",anthoneyphoney,NATO,380d6705-4727-41d4-8bdb-c4e0cd5b0351
neutral,RT @TV9Bharatvarsh: बात के बीच में आघात..रूस..करारा जवाब देगा !\n\n#WarCoverageOnTv9 | #Tv9BharatvarshNo1 | #NATO | #UkraineRussiaCrisis | #A…,Rohit10111011,NATO,13879400-d836-49ab-a94e-25426ca95aa0
neutral,RT @ledarsidorna_se: Intressant att @svtnyheter bara presenterar doc Jonathan Feldman som forskare.\n\nInte ett ord om långt engagemang i fre…,J_Carlberg,NATO,01152e86-da4f-47b2-a7e9-72496696dd18
neutral,"RT @VilleNiinisto: Kära vänner i Sverige, jag är övertygad att Finland kommer att lämna #Nato-ansökän med stor politisk majoritet denna vår…",GostaBroholmer,NATO,b7fb08f0-059b-4cb9-9f7e-c61a11e20f3f
neutral,RT @TV9Bharatvarsh: बेलगोरोड में एयर स्ट्राइक पर रूस ने जताई नाराजगी\n\n#WarCoverageOnTv9 | #Tv9BharatvarshNo1 | #NATO | #UkraineRussiaCrisis…,Rohit10111011,NATO,7553f020-91d3-4c05-939c-042473879c4e
neutral,RT @SgforgoodStella: Countries that \n1. imposed sanctions \n2. with the largest external debt \n3. #NATO countries https://t.co/Aje165uMvV,Milos1389Obilic,NATO,6b5c96b2-2629-4067-bd00-19ede66d06d2
positive,"RT @NATO: There are 40,000 troops under #NATO command in the eastern part of the Alliance, and Allies have agreed on 4 new multinational ba…",Clausewitz_,NATO,dec261a4-afa9-4c59-8114-7a97d38faeee
neutral,"RT @TV9Bharatvarsh: मारियुपोल से 6,266 लोगों का इवैकुएशन-यूक्रेन\n\n#WarCoverageOnTv9 | #Tv9BharatvarshNo1 | #NATO | #UkraineRussiaCrisis | #…",Rohit10111011,NATO,a457010e-e3e3-42b8-ab9b-d521ec2c9975
neutral,#POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO… https://t.co/nQPMuYytZf,VeedusM,NATO,c9ba348e-f1b1-47d8-98d3-343fb160eb70
neutral,#รัสเซีย \n#SaveGaza \n#รัสเซียยูเครน \n#กระติก\n#แตงโม\n#StandwithAfghanistan\n#StandwithPalestine \n#nato \n#โหนกระแส https://t.co/lDHvSyAfDb,FidHeadstrong,NATO,17917fd6-4539-431d-b6f2-ee0b7867ddee
neutral,"RT @nexta_tv: Dmitry #Medvedev claims that #Ukraine cannot join the \n EU because #Brussels is \controlled by #Washington\"" and it needs to b…""",darmagirl24,NATO,4c8caf1e-439f-4464-9803-03891abe8305
positive,"RT @MilitarisCath: The #Ukrainian Armed Forces @DefenceU are arguably better than #Nato and #American Armed forces,  Because they are achie…",Harold_Bman,NATO,c48ca9de-5ea2-489d-8d1b-c14524bb29fd
neutral,"RT @VilleNiinisto: Kära vänner i Sverige, jag är övertygad att Finland kommer att lämna #Nato-ansökän med stor politisk majoritet denna vår…",SfinxCheops,NATO,b7f28453-2118-4537-9513-a2254c252e70
neutral,Nato u centralnoj aziji neprihvatljiv – rusija https://t.co/38aCA5GUWi #mars #nato https://t.co/pHbF0tvzVV,poligrafnews,NATO,7d7e1574-9376-4f8a-9b7e-dba442cafe82
positive,RT @valstsgriba: I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will also cont…,janeinak,NATO,dac8b91a-bc16-465f-91d4-ca2e3a5b3c23
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",altijdgoed,NATO,3659bbfe-081f-4012-9274-9d9861312142
neutral,RT @pawelkusiak: 🔸Jakie są strategiczne cele Rosji🇷🇺 wobec Polski🇵🇱? \n🔸Czy #Putin zaatakuje Polskę militarnie? \n🔸Czy #NATO będzie bronić na…,spadak6,NATO,a81b2afb-89db-4715-b383-d19338896f3f
positive,RT @id_communism: #Athens - Thousands of people attended the massive anti-war rally of the Communist Party (#KKE) sending a strong message:…,kostashatzis5,NATO,69438dea-75b9-45a6-a5e2-7d4e0e1d4bfa
neutral,RT @georgegalloway: Sunday 7pm (London) @m_suchkov  on #russia #USA #Ukraine #Russian #NATO https://t.co/g3KBiJQ7UV,FawkesHandles,NATO,040fd031-88ad-48d7-b90a-f6fff89ff73d
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",FelixZeFabCat,NATO,f64f96ab-efd0-4fe6-a763-adeaa54af59f
neutral,@EricNaulleau La pièce #ukraine l’autre face \n#UkraineGate #PanamaPapers #Zelensky #BidenCrimeFamilly #MinskAccord… https://t.co/sOfYjh8tpx,EvaB_Victoire3,NATO,f4eb2159-971d-4fd8-9926-4304e6701c9b
neutral,"RT @43Hannu: .@AnnikaSaarikko’n haastattelusta tulee ilmi, että #Nato-jäsenyys olisi @keskusta’lle erittäin vaikea ja vastenmielinen asia,…",j_makr,NATO,cb3815e2-3b7a-4ec1-8666-ab6177e98b0f
neutral,"RT @Latvian_MFA: On April 2, 2004, #Latvian flag was solemnly raised at the #NATO HQ in #Brussels, symbolizing  country’s accession to the…",adekleine,NATO,758985ea-d8ac-4724-9c39-93e556c98d6e
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",AlexandraIvanov,NATO,a22bda08-23b1-4f9a-8a0d-8e7b06b3d1ce
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",tontwister,NATO,367aa593-d954-4431-b4df-2192a59227e5
positive,RT @valstsgriba: I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will also cont…,StokesC_CS,NATO,7a202c97-a63e-423b-8aed-ea9eb94585ef
negative,"RT @BRAVENEWEUROPE1: Pursuing national sovereignty means keeping foreign powers out of your domestic politics not inviting them in, as Ukra…",BRAVENEWEUROPE1,NATO,4679e551-4e81-4139-8b56-ecd916dfe54c
neutral,"RT @patrikoksanen: Ibland blir det oväntade möten och motpoler som möts, som på rad 10 på 7:05 flighten från Helsingfors Flygstation till A…",cicob2,NATO,ca7b4e89-cb41-4236-8925-007e6ae6a234
negative,RT @JeffInBville: @RFERL Just imagine if tomorrow morning #NATO forced open a #humanitarian corridor to every besieged city in #Ukraine rat…,infolinity,NATO,bfa5fca2-2167-4025-af59-8d3af67ff0d9
positive,RT @valstsgriba: I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will also cont…,paganbotanist,NATO,7d832305-1826-4340-98d4-9fe0e14dbc70
neutral,Stop ruscism! #Ukraine #USA #Germany #Ireland #Austria #EU #UK #Europe #Romania #France #Russia #Czech #Netherlands… https://t.co/uP0yE8wqQL,September_UA,NATO,0ee43b3c-7cd2-47be-8551-bb604bb81093
neutral,RT @NATO_AIRCOM: .@NATO's Air Policing mission in the Baltics 🇪🇪🇱🇻🇱🇹 continues as incoming Allies @EjercitoAire 🇪🇸 Czech Air Force 🇨🇿 @Arme…,VRockambolesk,NATO,b4779d40-5d96-4047-8586-5a3edea119b0
neutral,#POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO… https://t.co/7BhdabYJva,VeedusM,NATO,66c346d1-9104-4bdc-8d25-43496ebeff2f
neutral,RT @JFC_Naples: Now that's what we call a bird's eye view! Ever wonder what a bird sees above an aircraft carrier? \n\nProbably something lik…,LuxandraV,NATO,639c106d-e016-4615-9ebd-ab77e99c1650
neutral,Stop ruscism! #Ukraine #USA #Germany #Ireland #Austria #EU #UK #Europe #Romania #France #Russia #Czech #Netherlands… https://t.co/A2A6MSialT,September_UA,NATO,1c6f3a28-b5c8-4658-9287-798335bf9732
neutral,RT @Jim_Oberst: #Ukraine \nThe #Biden / #Zelensky / #NATO globabl aliance is paying off and according to press accounts will be making polic…,jayhnh,NATO,45793ad8-a60a-4b86-95e0-6236c84fac7d
negative,"RT @Farnakyboy: In #Greece, railway workers protest against the transfer of #US and #NATO military armored vehicles to the #Ukrainian borde…",wombat07153708,NATO,ef07bcc7-c31a-4406-b538-c19617d6ea50
positive,I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will al… https://t.co/Jeo3SFJbUZ,valstsgriba,NATO,c50aa82b-bbb4-401c-8acd-7d54bd5272bf
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",VDeDomingo,NATO,dfa8fbd2-f37a-4bcd-b6fe-a3067307fdf9
neutral,RT @Steenws: @HenriVanhanen Finland belongs in #NATO .,magicdmw,NATO,543e6145-50f3-4709-9d3a-eec76594421f
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",Ryan_M_Tully,NATO,ff6b8886-44f9-4712-a1dd-157ddc0cced2
neutral,RT @VeedusM: #POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO \n#WSJ \n#NYSE…,JFSebastian146,NATO,0830c104-e25c-48fe-8474-6ab1ad3b5ced
positive,"I believe Russia had any and every right to counter NATO and Merican bullshit,\nTo support Ukraine you either have t… https://t.co/QtaRKaMdaP",ArsalanKhalidK2,NATO,3ba1fb84-be7e-4aaf-b793-77730a67f8bf
neutral,"🇫🇮Tervehdys teille, valkoinen voima!💜⚡️⚡️🇫🇮😏🤔🧐🫵 Nyt puhutaan #Venäjä stä, #Ukraina sta ja sysätään lujaa kohti suur… https://t.co/J0vTNQg6zA",SannaPiipponen,NATO,aaa37851-9ad9-40fe-8a09-ac4ecf5b836e
neutral,RT @georgegalloway: Sunday 7pm (London) @m_suchkov  on #russia #USA #Ukraine #Russian #NATO https://t.co/g3KBiJQ7UV,cross_flag,NATO,04588059-9432-4bf1-8334-99ab3f178011
neutral,"RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…",bporras1,NATO,43cd1c13-fff9-465d-a5a7-8a3131ac23d0
neutral,RT @worldvisioncan: #PrayforUkraine with us in a night of worship and prayer in support of the millions of families affected by the conflic…,carlCurrelley,prayforukraine,3d6de201-668f-48db-95cd-6100c4471e6b
neutral,RT @miss_NFTs: I sublimate during our walks with my family by the sea💙💛🙏\n\n#StopPutin #StopWar #StopRussia #StandWithUkraine #PrayForUkraine…,Alla_Black_NFT,prayforukraine,8313d9ad-439a-4162-8d4b-82d43033d18a
neutral,#Ukraine #Украйна  #Ukraina #乌克兰 #Russia #NFSCRescue #ROLFRescue #Rescue #PrayForUkraine https://t.co/52ltYHbEFH,maxkootsg,prayforukraine,10e6f184-1c63-4d88-a315-89df38409963
neutral,We shall overcome🇺🇦\n We shall おばか\n#Weshallovercome #PrayForUkraine https://t.co/rygXOjeusD,satisatime,prayforukraine,d3153942-9f5e-462b-bd7a-f456364233fa
neutral,Nowです。\nNATO、フランス、アメリカ、スウェーデンの軍機がこれだけ近距離で飛び回っているので何か動きがあるのかな。マクロンさんが言ってたやつかな？\n#StandWithUkraine 🇺🇦\n#PeaceforUkraine… https://t.co/gbKRsoJpRV,amanojakudesu,prayforukraine,7b8f8a47-c890-42be-8cc4-717db91299a8
neutral,"RT @Shevchenk0_Mila: #РоссияСмотри  #Russian Вам не страшно? Такие последствия Вас ждут, радиационное облучение оккупационных войск и техни…",UogWalay,prayforukraine,06f48bf3-0580-4775-a3f3-403584d58c26
neutral,https://t.co/t4Vr3KVcz3\nhttps://t.co/kZHa8RIqeu\n#liveyourbestlife \n#PrayForUkraine \n@VothDesigns https://t.co/VH91DBhD3H,noroom4phonies,prayforukraine,1118121c-60ab-4eab-8995-e1814e0ea615
neutral,RT @UrbanCitizensFo: 2022.04.02\n🇲🇳🇺🇦 #Mongolia #Ulaanbaatar protest against war in Ukraine. \n#NoWar #PrayForUkraine #NoPutin https://t.co/y…,GidanMunk,prayforukraine,fb0ede83-c560-48d4-8995-766fb45a4adc
neutral,https://t.co/sUSIVqEVEV\nhttps://t.co/L1vUVbTTCF\n#liveyourbestlife\n#PrayForUkraine \n@VothDesigns https://t.co/qTDr94H1Rv,P_Voth,prayforukraine,d742c799-c377-4b84-9c66-56024353f070
neutral,RT @Arts_42: Homage\n#Art 🎨\n©️Bruce Neeley 2022\n#Poetry✍🏻\n©️Tereza Gillespie 2022\n@TBGTNT✍🏻\n❤️#Female🪷#Poets❤️\n❤️☘️🐥❤️✨🪷🦢❤️🦢🪷\n#WritingCommun…,JimBrazil,prayforukraine,c1936616-c029-4590-9f45-8c23e6a84ab0
neutral,RT @Lukebulleth: THIS WAR IS GENOCIDE. RUSSIA MUST BE STOPPED.\n\n#WarCrimes \n#Russian \n#PrayForUkraine \n#Moldova they’re going to attack Mol…,LukeBullough,prayforukraine,324f3128-d02e-4899-a172-ce0c15a6abc8
neutral,THIS WAR IS GENOCIDE. RUSSIA MUST BE STOPPED.\n\n#WarCrimes \n#Russian \n#PrayForUkraine \n#Moldova they’re going to att… https://t.co/BoPfuk5P6N,Lukebulleth,prayforukraine,b64cf212-1337-404d-9c24-824fc26ac9b1
neutral,Нарешті я зняв вишневі квіти.\n#Біблія #Христос #квітка #слива #християнський #Вишневийцвіт #prayforukraine\nХай буде… https://t.co/mM1xdx0SoC,kolbejpp,prayforukraine,04340443-7110-4db9-a644-7301e2026f6d
neutral,RT @woolismybread: We popped to the post office to post all our orders 🙏.. pick up food supplies and say a pray in St Andrew’s for the peop…,Avonan,prayforukraine,a193de5f-c049-4285-975b-4e5c0f0b2cc5
neutral,#PrayforUkraine with us in a night of worship and prayer in support of the millions of families affected by the con… https://t.co/KnJ7VOGqr3,worldvisioncan,prayforukraine,34fd8648-0b6c-452d-a931-b9d31bc5b0c4
neutral,RT @woolismybread: We popped to the post office to post all our orders 🙏.. pick up food supplies and say a pray in St Andrew’s for the peop…,harukakanaaa,prayforukraine,57fdce1f-cdbe-46d0-8ce3-1fcd77484bfe
neutral,RT @ShanMo76910739: Sunflowers🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻\nMarking Support For Ukraine🇺🇦💙💛\nhttps://t.co/xKxeEqRz8G\n\n#prayforukraine #cyber #union #support…,SocialDesignCr1,prayforukraine,f6af0c64-eaf7-442f-90d3-89f9a257f833
neutral,RT @ShanMo76910739: Sunflowers🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻\nMarking Support For Ukraine🇺🇦💙💛\nhttps://t.co/xKxeEqRz8G\n\n#prayforukraine #cyber #union #support…,Asatur093,prayforukraine,f131fd5a-563a-421c-8244-cb09c5d68548
positive,@Twitter Wonderful!😃. \nNow please verify our friend @NickKnudsenUS \n\nThank You!❤️\n\n🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦… https://t.co/wy79Mj6GDv,catherineanntuc,prayforukraine,a883ec18-70ba-4b63-b153-3c4d5a37ce61
neutral,"RT @Shevchenk0_Mila: #РоссияСмотри  #Russian Вам не страшно? Такие последствия Вас ждут, радиационное облучение оккупационных войск и техни…",KKantese,prayforukraine,25a0703c-33b4-4228-9ad6-93ee318818cf
positive,I'm creating a praying angel to represent Ukraine! Showing so love prayers and support! She's not done yet but comi… https://t.co/6aStS5KYRp,CraftFairycutz,prayforukraine,3b12d7df-98a7-4c43-b2da-4d3a0b484173
neutral,RT @woolismybread: We popped to the post office to post all our orders 🙏.. pick up food supplies and say a pray in St Andrew’s for the peop…,nerissa64,prayforukraine,240a3cbc-45e4-4ba0-a421-3b746ae7d169
neutral,RT @xiukab_ua: Отак окупанти нас підтримують та рятують \n#ukraine #UkraineWar #UkraineRussiaWar #PrayForUkraine #StandWithUkraine https://t…,igor_gritsyuk,prayforukraine,25b05e99-c12e-4eee-ab7e-15c907e7b0b7
